date;price
24/08/2011;108.506
25/08/2011;9.657
26/08/2011;81.794
27/08/2011;85.902
28/08/2011;90.701
29/08/2011;8.969
30/08/2011;87.913
31/08/2011;81.995
01/09/2011;08.21
02/09/2011;0,377777778
03/09/2011;08.48
04/09/2011;8.178
05/09/2011;7.611
06/09/2011;68.628
07/09/2011;71.864
08/09/2011;06.53
09/09/2011;05.03
10/09/2011;47.739
11/09/2011;58.644
12/09/2011;6.078
13/09/2011;05.08
14/09/2011;56.193
15/09/2011;0,225
16/09/2011;0,223611111
17/09/2011;0,220138889
18/09/2011;05.02
19/09/2011;05.46
20/09/2011;61.119
21/09/2011;56.114
22/09/2011;54.278
23/09/2011;55.451
24/09/2011;54.683
25/09/2011;05.33
26/09/2011;48.697
27/09/2011;49.156
28/09/2011;47.725
29/09/2011;47.794
30/09/2011;51.401
01/10/2011;50.324
02/10/2011;5.027
03/10/2011;5.024
04/10/2011;0,233333333
05/10/2011;0,227083333
06/10/2011;47.344
07/10/2011;42.728
08/10/2011;40.075
09/10/2011;41.029
10/10/2011;04.01
11/10/2011;39.308
12/10/2011;04.15
13/10/2011;40.462
14/10/2011;39.879
15/10/2011;38.421
16/10/2011;3.557
17/10/2011;02.56
18/10/2011;2.419
19/10/2011;02.27
20/10/2011;2.348
21/10/2011;02.57
22/10/2011;31.588
23/10/2011;03.17
24/10/2011;2.545
25/10/2011;0,136805556
26/10/2011;2.773
27/10/2011;03.04
28/10/2011;03.19
29/10/2011;35.811
30/10/2011;03.27
31/10/2011;3.248
01/11/2011;03.15
02/11/2011;32.543
03/11/2011;3.152
04/11/2011;3.109
05/11/2011;0,150694444
06/11/2011;29.596
07/11/2011;30.068
08/11/2011;3.035
09/11/2011;0,149305556
10/11/2011;28.399
11/11/2011;03.08
12/11/2011;3.031
13/11/2011;29.969
14/11/2011;02.22
15/11/2011;2.329
16/11/2011;25.604
17/11/2011;02.25
18/11/2011;02.05
19/11/2011;21.959
20/11/2011;02.02
21/11/2011;2.294
22/11/2011;23.289
23/11/2011;23.321
24/11/2011;24.321
25/11/2011;25.061
26/11/2011;02.47
27/11/2011;24.799
28/11/2011;02.55
29/11/2011;27.502
30/11/2011;29.701
01/12/2011;03.06
02/12/2011;31.151
03/12/2011;2.794
04/12/2011;28.281
05/12/2011;28.798
06/12/2011;03.03
07/12/2011;0,152083333
08/12/2011;0,151388889
09/12/2011;0,150694444
10/12/2011;03.05
11/12/2011;32.511
12/12/2011;3.135
13/12/2011;32.499
14/12/2011;03.15
15/12/2011;03.02
16/12/2011;03.02
17/12/2011;32.001
18/12/2011;3.193
19/12/2011;35.202
20/12/2011;0,190972222
21/12/2011;0,186805556
22/12/2011;38.901
23/12/2011;39.468
24/12/2011;0,190277778
25/12/2011;4.225
26/12/2011;4.018
27/12/2011;04.07
28/12/2011;41.855
29/12/2011;4.166
30/12/2011;4.248
31/12/2011;4.722
01/01/2012;52.677
02/01/2012;52.168
03/01/2012;48.808
04/01/2012;55.738
05/01/2012;69.476
06/01/2012;66.969
07/01/2012;0,30625
08/01/2012;71.136
09/01/2012;63.257
10/01/2012;06.36
11/01/2012;06.09
12/01/2012;06.08
13/01/2012;06.41
14/01/2012;0,302083333
15/01/2012;70.018
16/01/2012;66.825
17/01/2012;05.06
18/01/2012;0,272222222
19/01/2012;63.598
20/01/2012;64.898
21/01/2012;06.18
22/01/2012;63.097
23/01/2012;6.356
24/01/2012;62.898
25/01/2012;0,260416667
26/01/2012;05.34
27/01/2012;5.292
28/01/2012;56.267
29/01/2012;53.809
30/01/2012;54.905
31/01/2012;54.838
